provider_name,provider_type,address,emirate
Ahalia Hospital (Ahalia Group),Hospital,Same Line Of Lulu Centre Oppos Hamdan Street Hamdan Street,Abu Dhabi
Al Ahli Hosp Company Llc-Br 1 (Ahalia),Hospital,"After The Bmw Showroom Tariff Road,Sanaya Mussafah",Abu Dhabi
Al Cornice Hospital Ivf Center,Hospital,Corniche Road Beside Sheraton Hotel  Abudhabi,Abu Dhabi
Al Corniche Hospital-SEHA (No Dental Services On Direct Billing),Hospital,E. Corniche E. Corniche E. Corniche,Abu Dhabi
Al Gharbia Hospitals,Hospital, Al Gharbia Hospitals Administration  Old Hospital Building   Mohamed Kalaf Street,Abu Dhabi
Al Noor Hosp - Airport Road (Al Noor),Hospital,Near Carrefour Airport Road Airport Road,Abu Dhabi
Al Noor Hospital (Al Noor Grp),Hospital,Al Noor Hospital Brook Buildin Khalifa Street Khalifa Street,Abu Dhabi
Al Raha Hospital,Hospital,200; F-2; Hypermarket Building Najda Street Najda Street,Abu Dhabi
Al Rahba Hospital-SEHA (No Dental Services On Direct Billing),Hospital,Al Rahba Al Rahba Al Rahba,Abu Dhabi
Al Salama Hospital,Hospital,Dr. Abdullah Al Nuwais Buildin Hamdan Street Hamdan Street,Abu Dhabi
Bareen International Hospital,Hospital,Opp Fatima Bent Mubarak Mosque Mohammad Bin Zayed Road Abu Dhabi,Abu Dhabi
Behavioural Science Pavilon-SEHA,Hospital,Karama Street Karama Street Karama Street,Abu Dhabi
Bright Point Royal Womens Hospital(NMC),Hospital,"Commercial Tower B, Plot #36 Muroor Rd E/22/02",Abu Dhabi
Burjeel Hospital (VPS),Hospital,Near Shabia Police Station Najada Street Najada Street,Abu Dhabi
Danat Al Emarat Hosp For Women&Children,Hospital,3Rd Street Abu Dhabi Gate City Abu Dhabi,Abu Dhabi
Dar Al Shifa Hospital,Hospital,Corner Al Najda Street Defence Road Defence Road,Abu Dhabi
Delma Hospital-SEHA (No Dental Services On Direct Billing),Hospital,Western Region Western Region Western Region,Abu Dhabi
Ghiathy Hospital-SEHA (No Dental Services On Direct Billing),Hospital,Western Region Western Region Western Region,Abu Dhabi
Gulf Diagnostic Centre (Hospital),Hospital,No. 30 Between 13Th & 15Th Str New Musaffah Road Al Bateen,Abu Dhabi
Health Point Hospital Llc,Hospital,"Opp Zayed Stadium Inside Zayed Sports Saif Ghabbash, Airport Rd",Abu Dhabi
Lifecare Hospital Llc (VPS) (Llh Brand),Hospital,Al Raha Worker Village Near Al Gate 6 Baniyas City,Abu Dhabi
Lifecare Hospital Musaffah-Branch 1(VPS),Hospital,Village Mall Mussafah Llh Group,Abu Dhabi
Lifeline Hospital(Llh-Emke Gr)(VPS),Hospital,Al Marwa Towers Electra Street Electra Street,Abu Dhabi
Liwa Hospital-SEHA (No Dental Services On Direct Billing),Hospital,Western Region Western Region Western Region,Abu Dhabi
Llh Hospital Al Musaffah (Llh-Emke)(VPS),Hospital,Near Musaffah Police Station 4  Musaffah,Abu Dhabi
Madinat Zayaed Hospital-SEHA (No Dental Services On Direct Billing),Hospital,Western Region Western Region Western Region,Abu Dhabi
Marfa Hospital-SEHA (No Dental Services On Direct Billing),Hospital,Western Region Western Region Western Region,Abu Dhabi
Medeor 24X7 Hospital - Auh (VPS),Hospital,Opp: Auh Central Post Office Muroor Road Madinat Zayed,Abu Dhabi
Moorfields Eye Hospital Centre L.L.C,Hospital,Marine Bsdmireane Corniche,Abu Dhabi
Nmc Royal Hospital Llc,Hospital,"Nmc Royal Hospital Bldg Near Intl School Of Choueifat 16Th St, Khalifa City",Abu Dhabi
Nmc Speciality Hospital - Auh (NMC),Hospital,"16 Th Street, Nmc Building Electra Street Electra Street",Abu Dhabi
Phoenix Hospital,Hospital,"Al Bustan Hospital Building Al Ain -Tariff Road Shabia,Musaffah",Abu Dhabi
Ruwais Hospital Code H-242 (ADNOC),Hospital,"Code H-242 Near Ruwais Mall,Ru Ruwais Housing Complex Ruwais",Abu Dhabi
Seha Emirates Hospital L.L.C (Dublin),Hospital,"Villa 1,2,3,Block No 37East Emirates School ,Delma Street Nahyan Camp",Abu Dhabi
Sheikh Khalifa Medical City-SEHA (No Dental Services On Direct Billing),Hospital,Karama Street Karama Street Karama Street,Abu Dhabi
Sheikh Shakhbout Medical City-SEHA (No Dental Services On Direct Billing),Hospital,Al Mafraq  Al Mafraq,Abu Dhabi
Sila Hospital-SEHA (No Dental Services On Direct Billing),Hospital,Western Region Western Region Western Region,Abu Dhabi
Ajman Specialty Hospital,Hospital,Near New Veg And Fruit Market Sheikh Maktoum Bin Rashid Makt Sheikh Maktoum Bin Rashid Makt,Ajman
Amina Hospital Llc (AAH),Hospital,Behind Dreamsea Discount Centr Al Quds Ajman,Ajman
Saudi German Hospital Ajman,Hospital,Besides Cuca City University C Sheikh Ammar Bin Humaid Street Al Tallah,Ajman
Thumbay Hospital - Ajman,Hospital,Near Grand Service Station Nea Sheikh Zayed Street Nuaimiyah,Ajman
Thumbay University Hospital Complex Llc,Hospital,Behind Sheik Khalifa Hospital University Street Al Jurf Al Jurf,Ajman
Ain Al Khaleej Hospital,Hospital,Behind Al Jimi Mall Hamdan Street Jimi,Al Ain
Al Ain Hospital-SEHA (No Dental Services On Direct Billing),Hospital,Shakboot Bin Sultan Street Shakboot Bin Sultan Street Shakboot Bin Sultan Street,Al Ain
Al Noor Hospital -Al Ain (Al Noor),Hospital,Next To Choitram Supermarket Khalifa Street Khalifa Street,Al Ain
Al Wagan Hos-SEHA (No Dental Services On Direct Billing),Hospital,Al Wagan Al Wagan Al Wagan,Al Ain
Burjeel Royal Hospital,Hospital,"Burjeel Royal Hospital Al Falah Plaza Khaleefa St, Town Centre",Al Ain
Emirates International Hospital,Hospital,Behind Jimi Mall Hamdan Bin Mohd Street Khabisi,Al Ain
Kanad Hospital,Hospital,"Oasis Hospital Building, Befor Hazah Street Jahli",Al Ain
Medeor 24X7 Int'L Hospital Llc,Hospital,Asharej Commercial&Residential Asharej Area Bida Bin Ammar,Al Ain
Mediclinic Hospitals - Branch 4,Hospital,Civic Center Civic Center Al Ain,Al Ain
New Medical Centre Spec H (NMC),Hospital,"Nmc Building, Opposite Baladiy Mater Street Mutaredh",Al Ain
Specialized Medical Care Hospital (Smch),Hospital,Near Megamart Mohd Ibn Khalifa Street (132Nd Jahli,Al Ain
Tawam Hospital-SEHA (No Dental Services On Direct Billing),Hospital,N/A,Al Ain
Universal Hospital-Al Ain Llc (UBC),Hospital,"Behind Al Jimi Mall, Next To B Jimi Jimi",Al Ain
Adam Vital Ortus Hospital L.L.C,Hospital,Al Waleed Building Ggico Metro Station Al Garhoud,Dubai
Al Garhoud Private Hospital (Llc),Hospital,"Near Dhl Offices,Garhoud Road",Dubai
Al Zahra Hospital Dubai (Zahra Dxb),Hospital,Behind Sharaf Dg. Metro Statio Sheik Zayed Road Barsha 1,Dubai
American Hospital,Hospital,"Near Lamcy, Enoc. Oud Metha Road Dhcc,Bur Dubai",Dubai
Aster Cedars Hospital Jebel Ali,Hospital,"Dugas Road, Jebeel Ali - 1 Dugas Road, Jebeel Ali - 1 Jebal Ali",Dubai
Aster Hospital - Al Qusais,Hospital,Opp Madina Mall 9A Street Alqusais,Dubai
Aster Hospital - Mankhool,Hospital,"Bur Dubai Al Mankhool Al Rafa St, Near Sharaf Dg",Dubai
Aster Hospital Sonapur Llc,Hospital,Near To Access Clinic Algeria Street Muhaisnah,Dubai
Belhoul European Hospital,Hospital,"1St Floor Dune Center Aldiyafah Road Satwa,Bur Dubai",Dubai
Belhoul Speciality Hospital,Hospital,Belhoul Speciality Hospital Bu Khaleej Road Baraha,Dubai
Burjeel Hospital For Advanced Surgery,Hospital,Burjeel Hospital Adv Surgery Near Times Square Al Quoz 1,Dubai
Canadian Specialist Hospital-Deira,Hospital,"Abu Hail Area,Behind Abjar Gra Street # 24 Abu Hail Hor Anz",Dubai
Dha Primary Health Care (DHA),Hospital,Building 123  ,Dubai
Dr. Sulaiman Al Habib Hospital Fz-Llc (Except Psychiatric Services),Hospital,Oud Metha Dhcc Dhcc,Dubai
Dubai Hospital (DHA),Hospital,Al Baraha Al Khaleeja St Al Baraha,Dubai
Dubai London Speciality Hospital (24X7),Hospital,Dubai London Speciality Hospit Jumairah Beach Road Umm Sequim 2,Dubai
